category,setting,value,unit,source_or_rationale,model_version
short_proceeds_tier,short_proceeds_1e+06_3e+06,50.0,benchmark_minus,IBKR Pro USD short-sale proceeds tier benchmark minus 0.50 percent,macro_seasons_v4_ibkr_execution_v2
short_proceeds_tier,short_proceeds_3e+06_inf,25.0,benchmark_minus,IBKR Pro USD short-sale proceeds tier benchmark minus 0.25 percent,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_SPY,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_QQQ,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_IWM,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_EFA,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_EEM,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_TLT,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_IEF,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_GLD,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_DBC,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_UUP,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_FXY,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_FXF,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
short_borrow_proxy,borrow_HYG,100.0,annual bps,Replace with same-day IBKR SLB rate before trading,macro_seasons_v4_ibkr_execution_v2
